Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
hall,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hayes-B-H-300x375.jpg,3,Hall,,,,,,,,,,,,,,,,,,,,,,,active
hall,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hagan-B-H-300x375.jpg,4,Hall,,,,,,,,,,,,,,,,,,,,,,,active
hall,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/horan-B-H-300x375.jpg,5,Hall,,,,,,,,,,,,,,,,,,,,,,,active
halloran,Family name History & Crest Plaques - Halloran,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1137,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/halloran-B-H.jpg,1,Halloran,false,Family name History & Crest Plaques - Halloran,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
halloran,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Halloran,,,,,,,,,,,,,,,,,,,,,,,active
halloran,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/heffernan-B-H-300x375.jpg,3,Halloran,,,,,,,,,,,,,,,,,,,,,,,active
halloran,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hara-B-H-300x375.jpg,4,Halloran,,,,,,,,,,,,,,,,,,,,,,,active
halloran,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harris-B-H-300x375.jpg,5,Halloran,,,,,,,,,,,,,,,,,,,,,,,active
hanley,Family name History & Crest Plaques - Hanley,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1148,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hanley-B-H.jpg,1,Hanley,false,Family name History & Crest Plaques - Hanley,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
hanley,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Hanley,,,,,,,,,,,,,,,,,,,,,,,active
hanley,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hurley-B-H-1-300x375.jpg,3,Hanley,,,,,,,,,,,,,,,,,,,,,,,active
hanley,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hart-B-H-300x375.jpg,4,Hanley,,,,,,,,,,,,,,,,,,,,,,,active
hanley,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hely-B-H-300x375.jpg,5,Hanley,,,,,,,,,,,,,,,,,,,,,,,active
